name,online_order,book_table,rate,votes,location,restaurant_type,cuisines,approx_cost,listed_type,listed_city
Biryanis And More,True,False,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
Roving Feast,False,False,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
FreshMenu,True,False,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Banashankari Donne Biriyani,True,False,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
Wamama,True,True,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
Five Star Chicken,False,False,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
XO Belgian Waffle,True,False,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
Peppy Peppers,False,False,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari
Goa 0 Km,True,True,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Chinese Kitchen,True,False,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari
1947,False,True,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
Cake of the Day,False,False,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
Kabab Magic,True,False,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
Namma Brahmin's Idli,True,False,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
Gustoes Beer House,False,False,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
Sugar Rush,False,False,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Burger King,True,False,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
The Good Bowl,True,False,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
The Biryani Cafe,False,False,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
Spicy Tandoor,False,False,,0,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
LSD Cafe,False,False,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
Rolls On Wheels,False,False,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
Om Sri Vinayaka Chats,False,False,,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,True,False,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,True,False,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,False,False,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari
Upahar Sagar,False,False,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,True,False,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Frozen Bottle,True,False,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
Parimala Sweets,False,False,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,False,False,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Chill Out,False,False,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery,Banashankari
The Big O Bakes,False,False,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,True,False,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,False,False,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari
Dessert Rose,False,False,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,False,False,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Me And My Cake,False,False,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Sunsadm,False,False,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Annapooraneshwari Mess,False,False,,0,Banashankari,Mess,South Indian,200,Delivery,Banashankari
Thanco's Natural Ice Creams,False,False,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,False,False,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,False,False,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,False,False,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
Ayda Persian Kitchen,False,False,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
Chatar Patar,False,False,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
Polar Bear,True,False,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
Kidambi's Kitchen,False,False,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Mane Thindi,False,False,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,False,False,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,False,False,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
CAFE NOVA,False,False,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,False,False,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,False,False,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
Coffee Shopee,False,False,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,False,False,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,False,False,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari
Hari Super Sandwich,False,False,,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,Banashankari
Atithi Point Ande Ka Funda,False,False,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
Just Bake,False,False,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,False,False,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery,Banashankari
Cake Bite,False,False,,0,Banashankari,Bakery,Bakery,300,Delivery,Banashankari
Aarush's Food Plaza,False,False,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Wood Stove,False,False,,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery,Banashankari
Kulfi & More,False,False,,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,Delivery,Banashankari
Kannadigas Karavali,False,False,,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,Delivery,Banashankari
K27 - The Pub,False,False,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000,Delivery,Banashankari
Bengaluru Coffee House,True,False,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,False,False,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
Coffee Bytes,False,False,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
Parjanya Chat Zone,False,False,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,False,False,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
Soms Kitchen & Bakes,False,False,,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,Delivery,Banashankari
Banashankari Nati Style,False,False,,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,Delivery,Banashankari
Ruchi Maayaka,False,False,3.3,8,Banashankari,Delivery,South Indian,100,Delivery,Banashankari
Mohitesh Hut Roll,False,False,,0,Banashankari,Quick Bites,"Rolls, North Indian",150,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,False,False,,0,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Roll Magic Fast Food,False,False,,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery,Banashankari
Foodlieious Multi Cuisine,False,False,,0,Banashankari,Quick Bites,North Indian,100,Delivery,Banashankari
Thanishka Nati And Karavali Style,False,False,,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
Swathi Cool Point,False,False,,0,Banashankari,Beverage Shop,"Beverages, Juices",200,Delivery,Banashankari
Kaumudis Juoice,False,False,,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery,Banashankari
Amma - Manae,False,False,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Sri Sai Tiffannies,False,False,,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Hotel Andhra Speices,False,False,,0,Banashankari,Quick Bites,Andhra,250,Delivery,Banashankari
Sri Murari Family Restaurant,False,False,,0,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Aramane Donne Biriyani,False,False,,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery,Banashankari
Darkolates,False,False,,0,Banashankari,Confectionery,Desserts,200,Delivery,Banashankari
Swaada Healthy Kitchen,False,False,,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350,Delivery,Banashankari
Gawdaru Mane Beriyani,False,False,,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Melting Melodies,False,False,,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,Banashankari
New Indraprasta,False,False,,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery,Banashankari
Anna Kuteera,True,False,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,False,False,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,True,False,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,True,True,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Udupi Upahar,True,False,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
House Of Kebabs,True,False,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Roll N Rock,True,False,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
BOX8- Desi Meals,True,False,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
KFC,True,False,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
Bitez,False,False,,0,Banashankari,Quick Bites,Fast Food,100,Delivery,Banashankari
Roll Over,True,False,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Imperial Restaurant,True,False,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Lassi Shop,True,False,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
The Fortuna,True,False,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,True,False,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,True,False,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,True,False,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Canton,True,False,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,True,False,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
The Blue Wagon - Kitchen,True,False,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
HOT COFFEE,True,False,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,True,True,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
Lassi Corner,True,False,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
Sagar Deluxe,True,False,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Kanti Sweets,True,False,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,True,False,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,True,False,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery,Banashankari
Ande Ka Funda,True,False,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Cake Ghar,True,False,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery,Banashankari
Energy Addaa,True,False,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Bhattara Bhojana,True,False,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Tandoori Knight,True,False,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Dev Sagar - Food Street,True,False,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,True,False,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
Paradise Premium,True,False,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Grazers,True,True,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Shakes Theory,True,False,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
@Italy,True,False,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,Banashankari
Chilli Flakes,True,False,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Calcutta Cafe,True,False,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
Old Mumbai Ice Cream,True,False,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,True,False,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
By 2 Coffee,True,False,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,True,False,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
Davangere Butter Dosa Hotel,True,False,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,Banashankari
Just Shawarma,True,False,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,Banashankari
Mini Punjabi Dhaba,True,False,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,True,False,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,True,False,4.1,402,Banashankari,Cafe,Cafe,500,Delivery,Banashankari
Gokul Veg,True,False,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
Olive - Era,True,False,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
Udupi Ruchi,True,False,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Madhappa Hindu Military Hotel,True,False,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Gama Gama,True,False,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
The Vintage Cafe,True,False,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
Pizza Hut,True,False,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
Mangalore Pearl,True,False,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
Asha Sweets Centre,True,False,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,Banashankari
Twiststick House,True,False,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
Cool Corner,True,False,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
Pizza Mane,True,False,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
Dal Tadkaa,True,False,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery,Banashankari
Chutney Chang,True,True,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,Banashankari
Mystique Palate,True,False,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
Thamboola,True,False,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
Castle Rock,True,False,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Vietnamese Kitchen,True,False,3.6,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,Banashankari
Smacznego,True,False,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
C Corner,True,False,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
Paratha Merchant,True,False,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,Banashankari
North Rasoe,True,False,3.1,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
Inchara Restaurant,True,False,,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Toscano,True,True,4.3,1129,Jayanagar,Casual Dining,"Italian, Salad",1300,Delivery,Banashankari
Lord Of The Kitchen,True,False,3.9,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
Stoned Monkey,True,False,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
Central Jail Restaurant,True,False,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
Bella,True,True,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari
Vennela Andhra Meals,True,False,3.0,23,Jayanagar,Quick Bites,Andhra,400,Delivery,Banashankari
New Prashanth Hotel,True,False,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
The Grillo,True,True,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
Re Malnad Nati Style Hotel,True,False,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery,Banashankari
Karma Kaapi,True,False,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery,Banashankari
Tiwari's,True,False,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Pizza Stop,True,False,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari
Biggies Burger 'n' More,True,False,3.6,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Banashankari
Srinathji's Cafe,False,False,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
